name,rlvl,lvl,stars,prog,qual,dur,pdiv,qdiv,pmod,qmod,reqqual
Bronze Gauntlets,14,14,0,54,330,60,50,30,100,100,0
Iron Rings,15,15,0,27,288,40,50,30,100,100,0
Bronze Buckler,15,15,0,55,360,70,50,30,100,100,0
Iron Skillet,15,15,0,55,360,70,50,30,100,100,0
Brass Alembic,15,15,0,82,270,70,50,30,100,100,0
Decorated Bronze Barbut,16,16,0,94,292,70,50,30,100,100,0
Decorated Bronze Mitt Gauntlets,16,16,0,94,292,70,50,30,100,100,0
Iron Hoplon,17,17,0,66,420,70,50,30,100,100,0
Initiate's Alembic,18,18,0,67,450,70,50,30,100,100,0
Initiate's Skillet,18,18,0,67,450,70,50,30,100,100,0
Iron Sabatons,19,19,0,68,480,70,50,30,100,100,0
Iron Sallet,19,19,0,68,480,70,50,30,100,100,0
Iron Gauntlets,20,20,0,74,510,70,50,30,100,100,0
Iron Cuirass,20,20,0,74,510,70,50,30,100,100,0
Iron Celata,20,20,0,74,510,70,50,30,100,100,0
Ironclad Bronze Buckler,20,20,0,111,382,70,50,30,100,100,0
Iron Vambraces,21,21,0,75,540,70,50,30,100,100,0
Iron Lantern Shield,21,21,0,75,540,70,50,30,100,100,0
Iron Elmo,22,22,0,75,570,70,50,30,100,100,0
Iron-plated Jackboots,22,22,0,75,570,70,50,30,100,100,0
Iron Alembic,23,23,0,79,600,70,50,30,100,100,0
Iron Scale Greaves,23,23,0,79,600,70,50,30,100,100,0
Iron Scale Fingers,23,23,0,79,600,70,50,30,100,100,0
Iron Scale Mail,23,23,0,79,600,70,50,30,100,100,0
Iron Frypan,23,23,0,79,600,70,50,30,100,100,0
Reinforced Iron Sallet,24,24,0,127,472,70,50,30,100,100,0
Iron Scutum,24,24,0,85,630,70,50,30,100,100,0
Heavy Iron Armor,25,25,0,89,660,70,50,30,100,100,0
Heavy Iron Gauntlets,25,25,0,89,660,70,50,30,100,100,0
Heavy Iron Flanchard,25,25,0,89,660,70,50,30,100,100,0
Steel Ingot,26,26,0,45,552,40,50,30,100,100,0
Conical Alembic,26,26,0,135,517,70,50,30,100,100,0
Steel Plate,27,27,0,45,576,40,50,30,100,100,0
Steel Rivets,27,27,0,45,576,40,50,30,100,100,0
Iron Kite Shield,27,27,0,91,720,70,50,30,100,100,0
Bomb Frypan,27,27,0,91,720,70,50,30,100,100,0
Steel Rings,28,28,0,50,608,40,50,30,100,100,0
Steel Chainmail,28,28,0,100,760,70,50,30,100,100,0
Steel Sallet,29,29,0,101,800,70,50,30,100,100,0
Steel Alembic,29,29,0,101,800,70,50,30,100,100,0
Steel Skillet,29,29,0,101,800,70,50,30,100,100,0
Steel Gauntlets,30,30,0,102,850,70,50,30,100,100,0
Steel Cuirass,30,30,0,102,850,70,50,30,100,100,0
Steel Sabatons,30,30,0,102,850,70,50,30,100,100,0
Steel Celata,30,30,0,102,850,70,50,30,100,100,0
Steel-plated Jackboots,30,30,0,102,850,70,50,30,100,100,0
Steel Vambraces,31,31,0,106,900,80,50,30,100,100,0
Bull Hoplon,31,31,0,106,900,80,50,30,100,100,0
Steel Elmo,31,31,0,106,900,80,50,30,100,100,0
Steel Scale Greaves,32,32,0,110,950,80,50,30,100,100,0
Steel Scale Fingers,32,32,0,110,950,80,50,30,100,100,0
Steel Scale Mail,32,32,0,110,950,80,50,30,100,100,0
Decorated Buckler,33,33,0,166,750,80,50,30,100,100,0
White Skillet,33,33,0,111,1000,80,50,30,100,100,0
Silver Alembic,34,34,0,115,1050,80,50,30,100,100,0
Heavy Steel Armor,34,34,0,115,1050,80,50,30,100,100,0
Heavy Steel Gauntlets,34,34,0,115,1050,80,50,30,100,100,0
Decorated Iron Scutum,34,34,0,172,787,80,50,30,100,100,0
Heavy Steel Flanchard,35,35,0,123,1110,80,50,30,100,100,0
Steel-plated Caligae,35,35,0,123,1110,80,50,30,100,100,0
Steel Barbut,35,35,0,123,1110,80,50,30,100,100,0
Steel Mitt Gauntlets,35,35,0,123,1110,80,50,30,100,100,0
Mythril Ingot,36,36,0,62,928,40,50,30,100,100,0
Steel Frypan,36,36,0,124,1160,80,50,30,100,100,0
Mythril Rings,37,37,0,64,976,40,50,30,100,100,0
Mythril Rivets,37,37,0,64,976,40,50,30,100,100,0
Bladed Lantern Shield,37,37,0,128,1220,80,50,30,100,100,0
Mythril Plate,38,38,0,64,1024,40,50,30,100,100,0
Horn Scale Mail,40,40,0,138,1400,80,50,30,100,100,0
Mythril Elmo,40,40,0,138,1400,80,50,30,100,100,0
Mythril Alembic,40,40,0,138,1400,80,50,30,100,100,0
Mythril-plated Jackboots,41,41,0,143,1460,80,50,30,100,100,0
Mythril Barbut,41,41,0,143,1460,80,50,30,100,100,0
Mythril-plated Caligae,42,42,0,144,1520,80,50,30,100,100,0
Mythril Mesail,42,42,0,144,1520,80,50,30,100,100,0
Cobalt Ingot,42,42,0,72,1216,40,50,30,100,100,0
Mythril Vambraces,41,41,0,143,1460,80,50,30,100,100,0
Mythril Sollerets,42,42,0,144,1520,80,50,30,100,100,0
Mythril Chain Coif,42,42,0,144,1520,80,50,30,100,100,0
Mythril Haubergeon,42,42,0,144,1520,80,50,30,100,100,0
Cobalt Plate,43,43,0,77,1264,40,50,30,100,100,0
Cobalt Rings,43,43,0,77,1264,40,50,30,100,100,0
Mythril Mitt Gauntlets,43,43,0,155,1580,80,50,30,100,100,0
Cobalt Skillet,43,43,0,155,1580,80,50,30,100,100,0
Cobalt Rivets,44,44,0,78,1312,40,50,30,100,100,0
Reinforced Mythril Elmo,44,44,0,234,1230,80,50,30,100,100,0
Cobalt Vambraces,44,44,0,156,1640,80,50,30,100,100,0
Cobalt-plated Jackboots,45,45,0,158,1700,80,50,30,100,100,0
Cobalt Elmo,45,45,0,158,1700,80,50,30,100,100,0
Tortoiseshell Scale Mail,45,45,0,158,1700,80,50,30,100,100,0
Cobalt Barbut,46,46,0,159,1760,80,50,30,100,100,0
Cobalt-plated Caligae,46,46,0,159,1760,80,50,30,100,100,0
Cobalt Mitt Gauntlets,48,48,0,172,1880,80,50,30,100,100,0
Cobalt Mesail,49,49,0,174,1940,80,50,30,100,100,0
Kite Shield,50,50,0,180,2000,80,50,30,100,100,0
Cobalt Sollerets,50,50,0,180,2000,80,50,30,100,100,0
Cobalt Chain Coif,50,50,0,180,2000,80,50,30,100,100,0
Cobalt Haubergeon,50,50,0,180,2000,80,50,30,100,100,0
Thermal Alembic,50,50,0,180,2000,80,50,30,100,100,0
Cobalt Gauntlets,50,50,0,180,2000,80,50,30,100,100,0
Cobalt Cuirass,50,50,0,180,2000,80,50,30,100,100,0
Cobalt Sabatons,50,50,0,180,2000,80,50,30,100,100,0
Cobalt Celata,50,50,0,180,2000,80,50,30,100,100,0
Leather,1,1,0,9,80,40,50,30,100,100,0
Leather Calot,1,1,0,19,100,60,50,30,100,100,0
Leather Duckbills,2,2,0,20,110,60,50,30,100,100,0
Leather Wristguards,2,2,0,20,110,60,50,30,100,100,0
Leather Duckbills of Gathering,3,3,0,20,120,60,50,30,100,100,0
Fingerless Leather Gloves,4,4,0,21,130,60,50,30,100,100,0
Leather Shoes,4,4,0,21,130,60,50,30,100,100,0
Leather Eyepatch,4,4,0,21,130,60,50,30,100,100,0
Leather Crakows,5,5,0,33,150,60,50,30,100,100,0
Leather Choker,5,5,0,33,150,60,50,30,100,100,0
Leather Culottes,5,5,0,33,150,60,50,30,100,100,0
Leather Lightmitts,6,6,0,36,170,60,50,30,100,100,0
Leather Boots,6,6,0,36,170,60,50,30,100,100,0
Leather Ringbands,6,6,0,36,170,60,50,30,100,100,0
Leather Mitts,6,6,0,36,170,60,50,30,100,100,0
Leather Himantes,7,7,0,37,190,60,50,30,100,100,0
Leather Wristbands,7,7,0,37,190,60,50,30,100,100,0
Hard Leather,8,8,0,20,168,40,50,30,100,100,0
Leather Sandals,8,8,0,41,210,60,50,30,100,100,0
Hard Leather Pot Helm,8,8,0,41,210,60,50,30,100,100,0
Leather Leggings,8,8,0,41,210,60,50,30,100,100,0
Amateur's Thighboots,9,9,0,42,230,60,50,30,100,100,0
Amateur's Smithing Gloves,9,9,0,42,230,60,50,30,100,100,0
Amateur's Duckbills,9,9,0,42,230,60,50,30,100,100,0
Leather Jacket,10,10,0,45,250,60,50,30,100,100,0
Hard Leather Wristguards,10,10,0,45,250,60,50,30,100,100,0
Amateur's Headgear,11,11,0,48,270,60,50,30,100,100,0
Hard Leather Shoes,11,11,0,48,270,60,50,30,100,100,0
Leather Jackboots,12,12,0,53,290,60,50,30,100,100,0
Hard Leather Harness,12,12,0,53,290,60,50,30,100,100,0
Leather Targe,13,13,0,54,310,60,50,30,100,100,0
Hard Leather Armguards,13,13,0,54,310,60,50,30,100,100,0
Hard Leather Caligae,14,14,0,54,330,60,50,30,100,100,0
Hard Leather Subligar,14,14,0,54,330,60,50,30,100,100,0
Hard Leather Eyepatch,14,14,0,54,330,60,50,30,100,100,0
Hard Leather Himantes,14,14,0,54,330,60,50,30,100,100,0
Hard Leather Lightmitts,14,14,0,54,330,60,50,30,100,100,0
Hard Leather Choker,15,15,0,55,360,70,50,30,100,100,0
Fingerless Hard Leather Gloves,15,15,0,55,360,70,50,30,100,100,0
Hard Leather Boots,15,15,0,55,360,70,50,30,100,100,0
Hard Leather Ringbands,16,16,0,63,390,70,50,30,100,100,0
Aldgoat Leather,17,17,0,33,336,40,50,30,100,100,0
Hard Leather Skullcap,17,17,0,66,420,70,50,30,100,100,0
Hard Leather Espadrilles,17,17,0,66,420,70,50,30,100,100,0
Hard Leather Wristbands,17,17,0,66,420,70,50,30,100,100,0
Hard Leather Wristbands of Gathering,17,17,0,66,420,70,50,30,100,100,0
Goatskin Wristguards,18,18,0,67,450,70,50,30,100,100,0
Goatskin Mitts,18,18,0,67,450,70,50,30,100,100,0
Goatskin Cesti,18,18,0,67,450,70,50,30,100,100,0
Goatskin Leggings,19,19,0,68,480,70,50,30,100,100,0
Goatskin Pot Helm,19,19,0,68,480,70,50,30,100,100,0
Goatskin Ring,20,20,0,74,510,70,50,30,100,100,0
Initiate's Gloves,20,20,0,74,510,70,50,30,100,100,0
Padded Leather Duckbills,21,21,0,112,405,70,50,30,100,100,0
Padded Leather Duckbills of Gathering,21,21,0,112,405,70,50,30,100,100,0
Initiate's Thighboots,21,21,0,75,540,70,50,30,100,100,0
Goatskin Brais,22,22,0,75,570,70,50,30,100,100,0
Initiate's Headgear,22,22,0,75,570,70,50,30,100,100,0
Goatskin Armguards,22,22,0,75,570,70,50,30,100,100,0
Goatskin Jacket,22,22,0,75,570,70,50,30,100,100,0
Goatskin Eyepatch,23,23,0,79,600,70,50,30,100,100,0
Goatskin Leg Guards,23,23,0,79,600,70,50,30,100,100,0
Goatskin Lightmitts,23,23,0,79,600,70,50,30,100,100,0
Goatskin Breeches,24,24,0,85,630,70,50,30,100,100,0
Goatskin Espadrilles,25,25,0,89,660,70,50,30,100,100,0
Fingerless Goatskin Gloves,25,25,0,89,660,70,50,30,100,100,0
Fingerless Goatskin Gloves of Gathering,25,25,0,89,660,70,50,30,100,100,0
Toad Leather,26,26,0,45,552,40,50,30,100,100,0
Goatskin Crakows,26,26,0,90,690,70,50,30,100,100,0
Goatskin Choker,26,26,0,90,690,70,50,30,100,100,0
Goatskin Crakows of Gathering,27,27,0,91,720,70,50,30,100,100,0
Goatskin Boots,27,27,0,91,720,70,50,30,100,100,0
Goatskin Ringbands,27,27,0,91,720,70,50,30,100,100,0
Goatskin Wristbands of Gathering,27,27,0,91,720,70,50,30,100,100,0
Toadskin Cesti,28,28,0,100,760,70,50,30,100,100,0
Goatskin Wristbands,29,29,0,101,800,70,50,30,100,100,0
Goatskin Targe,29,29,0,101,800,70,50,30,100,100,0
Toadskin Brais,29,29,0,101,800,70,50,30,100,100,0
Toadskin Jerkin,30,30,0,102,850,70,50,30,100,100,0
Toadskin Armguards,30,30,0,102,850,70,50,30,100,100,0
Toadskin Jacket,30,30,0,102,850,70,50,30,100,100,0
Toadskin Culottes,31,31,0,106,900,80,50,30,100,100,0
Toadskin Leg Guards,31,31,0,106,900,80,50,30,100,100,0
Toadskin Workboots,31,31,0,106,900,80,50,30,100,100,0
Toadskin Ring,32,32,0,110,950,80,50,30,100,100,0
Toadskin Breeches,32,32,0,110,950,80,50,30,100,100,0
Boar Leather,33,33,0,55,800,40,50,30,100,100,0
Skull Eyepatch,33,33,0,111,1000,80,50,30,100,100,0
Boarskin Himantes,33,33,0,111,1000,80,50,30,100,100,0
Fingerless Boarskin Gloves,33,33,0,111,1000,80,50,30,100,100,0
Boarskin Choker,34,34,0,115,1050,80,50,30,100,100,0
Fingerless Boarskin Gloves of Gathering,34,34,0,115,1050,80,50,30,100,100,0
Toadskin Duckbills,35,35,0,123,1110,80,50,30,100,100,0
Boarskin Crakows,35,35,0,123,1110,80,50,30,100,100,0
Boarskin Crakows of Gathering,35,35,0,123,1110,80,50,30,100,100,0
Boarskin Ringbands,36,36,0,124,1160,80,50,30,100,100,0
Boarskin Wristbands,36,36,0,124,1160,80,50,30,100,100,0
Boarskin Subligar,37,37,0,128,1220,80,50,30,100,100,0
Boarskin Harness,37,37,0,128,1220,80,50,30,100,100,0
Boarskin Pot Helm,37,37,0,128,1220,80,50,30,100,100,0
Peiste Leather,38,38,0,64,1024,40,50,30,100,100,0
Peisteskin Crakows,38,38,0,129,1280,80,50,30,100,100,0
Peisteskin Crakows of Gathering,38,38,0,129,1280,80,50,30,100,100,0
Fingerless Peisteskin Gloves,38,38,0,129,1280,80,50,30,100,100,0
Fingerless Peisteskin Gloves of Gathering,39,39,0,137,1340,80,50,30,100,100,0
Boarskin Thighboots,39,39,0,137,1340,80,50,30,100,100,0
Peisteskin Harness,39,39,0,137,1340,80,50,30,100,100,0
Boarskin Smithy's Gloves,40,40,0,138,1400,80,50,30,100,100,0
Peisteskin Subligar,41,41,0,143,1460,80,50,30,100,100,0
Boarskin Culottes,41,41,0,143,1460,80,50,30,100,100,0
Boarskin Skirt,41,41,0,143,1460,80,50,30,100,100,0
Boarskin Moccasins,41,41,0,143,1460,80,50,30,100,100,0
Boarskin Workboots,42,42,0,144,1520,80,50,30,100,100,0
Boarskin Jerkin,43,43,0,155,1580,80,50,30,100,100,0
Raptor Leather,41,41,0,71,1168,40,50,30,100,100,0
Raptorskin Targe,42,42,0,144,1520,80,50,30,100,100,0
Raptorskin Choker,43,43,0,155,1580,80,50,30,100,100,0
Boarskin Ringbands of Tremors,43,43,0,232,1185,80,50,30,100,100,0
Boarskin Ringbands of Frost,43,43,0,232,1185,80,50,30,100,100,0
Boarskin Ringbands of Gales,43,43,0,232,1185,80,50,30,100,100,0
Boarskin Ringbands of Tides,43,43,0,232,1185,80,50,30,100,100,0
Boarskin Ringbands of Flames,43,43,0,232,1185,80,50,30,100,100,0
Boarskin Ringbands of Storms,43,43,0,232,1185,80,50,30,100,100,0
Fingerless Raptorskin Gloves,43,43,0,155,1580,80,50,30,100,100,0
Fingerless Raptorskin Gloves of Gathering,44,44,0,156,1640,80,50,30,100,100,0
Peisteskin Cesti,44,44,0,156,1640,80,50,30,100,100,0
Raptorskin Subligar,44,44,0,156,1640,80,50,30,100,100,0
Raptorskin Harness,44,44,0,156,1640,80,50,30,100,100,0
